timestamp,rollout_id,steps,env_instances_avg,total_actions,waypoint_s,env_call_at_s,navigation_s,env_step_s,tracked_total_s,rollout_total_s,waypoint_pct,env_call_at_pct,navigation_pct,env_step_pct,call_at_requests
2026-03-20 19:59:16,103,15,4.000,60,0.822133,0.437094,12.600825,5.023749,18.883802,19.824416,4.35,2.31,66.73,26.60,278
2026-03-20 19:59:37,104,15,4.000,60,0.845119,0.455891,13.567053,4.993013,19.861076,20.527546,4.26,2.30,68.31,25.14,278
2026-03-20 19:59:59,105,15,4.000,60,0.848961,0.400861,13.793550,5.347902,20.391272,21.021811,4.16,1.97,67.64,26.23,277
2026-03-20 20:00:20,106,15,4.000,60,0.827596,0.395460,14.104994,5.292574,20.620624,21.284916,4.01,1.92,68.40,25.67,285
2026-03-20 20:00:41,107,15,4.000,60,0.798947,0.406786,13.032808,5.025181,19.263722,19.878011,4.15,2.11,67.65,26.09,281
2026-03-20 20:01:02,108,15,4.000,60,0.809674,0.433341,13.991126,5.020906,20.255047,20.910885,4.00,2.14,69.07,24.79,281
2026-03-20 20:01:25,109,15,4.000,60,0.802586,0.429477,14.797787,5.131633,21.161484,21.794239,3.79,2.03,69.93,24.25,285
2026-03-20 20:01:45,110,15,4.000,60,0.798945,0.398603,13.008956,4.723937,18.930441,19.504187,4.22,2.11,68.72,24.95,280
2026-03-20 20:02:03,111,15,4.000,60,0.829023,0.377111,11.322688,5.094215,17.623037,17.850997,4.70,2.14,64.25,28.91,279
2026-03-20 20:02:24,112,15,4.000,60,0.808497,0.384110,13.546224,5.156685,19.895516,20.483438,4.06,1.93,68.09,25.92,277
2026-03-20 20:02:43,113,15,4.000,60,0.800807,0.397315,11.338420,5.164105,17.700647,18.350454,4.52,2.24,64.06,29.17,275
2026-03-20 20:03:05,114,15,4.000,60,0.820097,0.394527,13.841684,4.956641,20.012949,20.968782,4.10,1.97,69.16,24.77,275
2026-03-20 20:03:27,115,15,4.000,60,0.849967,0.537459,14.029758,4.982538,20.399721,21.352067,4.17,2.63,68.77,24.42,274
2026-03-20 20:03:48,116,15,4.000,60,0.824355,0.453251,13.840401,5.207121,20.325128,20.915387,4.06,2.23,68.10,25.62,276
2026-03-20 20:04:09,117,15,4.000,60,0.834841,0.379077,12.598109,5.128559,18.940586,19.567300,4.41,2.00,66.51,27.08,283
2026-03-20 20:04:31,118,15,4.000,60,0.860284,0.413929,14.963142,5.007201,21.244556,21.892831,4.05,1.95,70.43,23.57,273
2026-03-20 20:04:54,119,15,4.000,60,0.814872,0.501784,14.750695,5.259053,21.326404,21.914136,3.82,2.35,69.17,24.66,272
2026-03-20 20:05:15,120,15,4.000,60,0.807731,0.355680,14.001576,4.934751,20.099737,20.702177,4.02,1.77,69.66,24.55,275
2026-03-20 20:05:35,121,15,4.000,60,0.807161,0.408523,12.824476,5.192438,19.232598,19.843628,4.20,2.12,66.68,27.00,276
2026-03-20 20:05:56,122,15,4.000,60,0.807986,0.430294,13.119184,5.133669,19.491132,20.116784,4.15,2.21,67.31,26.34,278
2026-03-20 20:06:19,123,15,4.000,60,0.801729,0.419742,15.136516,4.991488,21.349475,22.285843,3.76,1.97,70.90,23.38,281
2026-03-20 20:06:41,124,15,4.000,60,0.832423,0.367650,13.315535,6.093500,20.609109,21.244737,4.04,1.78,64.61,29.57,274
2026-03-20 20:07:01,125,15,4.000,60,0.822781,0.387846,12.412195,5.160769,18.783591,19.418725,4.38,2.06,66.08,27.47,272
2026-03-20 20:07:20,126,15,4.000,60,0.819888,0.360755,11.621287,4.979086,17.781016,18.378061,4.61,2.03,65.36,28.00,277
